Series ID,Year,Period,Label,Value
LASST010000000000003,2020,M01,2020 Jan,3.3
LASST010000000000003,2020,M02,2020 Feb,3.4
LASST010000000000003,2020,M03,2020 Mar,3.6
LASST010000000000003,2020,M04,2020 Apr,13.7
LASST010000000000003,2020,M05,2020 May,10.4
LASST010000000000003,2020,M06,2020 Jun,8.7
LASST010000000000003,2020,M07,2020 Jul,7.7
LASST010000000000003,2020,M08,2020 Aug,6.6
LASST010000000000003,2020,M09,2020 Sep,6.1
LASST010000000000003,2020,M10,2020 Oct,5.3
LASST010000000000003,2020,M11,2020 Nov,4.8
LASST010000000000003,2020,M12,2020 Dec,4.4
LASST010000000000003,2021,M01,2021 Jan,4.0
LASST010000000000003,2021,M02,2021 Feb,3.8
LASST010000000000003,2021,M03,2021 Mar,3.7
LASST010000000000003,2021,M04,2021 Apr,3.6
LASST010000000000003,2021,M05,2021 May,3.6
LASST010000000000003,2021,M06,2021 Jun,3.5
LASST010000000000003,2021,M07,2021 Jul,3.4
LASST010000000000003,2021,M08,2021 Aug,3.3
LASST010000000000003,2021,M09,2021 Sep,3.2
LASST010000000000003,2021,M10,2021 Oct,3.1
LASST010000000000003,2021,M11,2021 Nov,3.1
LASST010000000000003,2021,M12,2021 Dec,3.1
LASST010000000000003,2022,M01,2022 Jan,3.1
LASST010000000000003,2022,M02,2022 Feb,3.0
LASST010000000000003,2022,M03,2022 Mar,2.9
LASST010000000000003,2022,M04,2022 Apr,2.8
LASST010000000000003,2022,M05,2022 May,2.7
LASST010000000000003,2022,M06,2022 Jun,2.6
LASST010000000000003,2022,M07,2022 Jul,2.6
LASST010000000000003,2022,M08,2022 Aug,2.6
LASST010000000000003,2022,M09,2022 Sep,2.6
LASST010000000000003,2022,M10,2022 Oct,2.7
LASST020000000000003,2020,M01,2020 Jan,5.2
LASST020000000000003,2020,M02,2020 Feb,5.2
LASST020000000000003,2020,M03,2020 Mar,5.2
LASST020000000000003,2020,M04,2020 Apr,11.9
LASST020000000000003,2020,M05,2020 May,11.9
LASST020000000000003,2020,M06,2020 Jun,11.3
LASST020000000000003,2020,M07,2020 Jul,11.2
LASST020000000000003,2020,M08,2020 Aug,7.8
LASST020000000000003,2020,M09,2020 Sep,7.7
LASST020000000000003,2020,M10,2020 Oct,7.3
LASST020000000000003,2020,M11,2020 Nov,7.2
LASST020000000000003,2020,M12,2020 Dec,7.3
LASST020000000000003,2021,M01,2021 Jan,7.1
LASST020000000000003,2021,M02,2021 Feb,7.0
LASST020000000000003,2021,M03,2021 Mar,7.0
LASST020000000000003,2021,M04,2021 Apr,7.0
LASST020000000000003,2021,M05,2021 May,6.8
LASST020000000000003,2021,M06,2021 Jun,6.8
LASST020000000000003,2021,M07,2021 Jul,6.5
LASST020000000000003,2021,M08,2021 Aug,6.3
LASST020000000000003,2021,M09,2021 Sep,5.9
LASST020000000000003,2021,M10,2021 Oct,5.7
LASST020000000000003,2021,M11,2021 Nov,5.5
LASST020000000000003,2021,M12,2021 Dec,5.5
LASST020000000000003,2022,M01,2022 Jan,5.6
LASST020000000000003,2022,M02,2022 Feb,5.3
LASST020000000000003,2022,M03,2022 Mar,4.9
LASST020000000000003,2022,M04,2022 Apr,4.8
LASST020000000000003,2022,M05,2022 May,4.6
LASST020000000000003,2022,M06,2022 Jun,4.6
LASST020000000000003,2022,M07,2022 Jul,4.5
LASST020000000000003,2022,M08,2022 Aug,4.6
LASST020000000000003,2022,M09,2022 Sep,4.4
LASST020000000000003,2022,M10,2022 Oct,4.5
LASST040000000000003,2020,M01,2020 Jan,5.0
LASST040000000000003,2020,M02,2020 Feb,5.0
LASST040000000000003,2020,M03,2020 Mar,5.1
LASST040000000000003,2020,M04,2020 Apr,13.9
LASST040000000000003,2020,M05,2020 May,11.0
LASST040000000000003,2020,M06,2020 Jun,9.5
LASST040000000000003,2020,M07,2020 Jul,8.6
LASST040000000000003,2020,M08,2020 Aug,7.6
LASST040000000000003,2020,M09,2020 Sep,7.2
LASST040000000000003,2020,M10,2020 Oct,6.7
LASST040000000000003,2020,M11,2020 Nov,6.5
LASST040000000000003,2020,M12,2020 Dec,6.3
LASST040000000000003,2021,M01,2021 Jan,6.1
LASST040000000000003,2021,M02,2021 Feb,6.0
LASST040000000000003,2021,M03,2021 Mar,5.8
LASST040000000000003,2021,M04,2021 Apr,5.6
LASST040000000000003,2021,M05,2021 May,5.4
LASST040000000000003,2021,M06,2021 Jun,5.2
LASST040000000000003,2021,M07,2021 Jul,4.9
LASST040000000000003,2021,M08,2021 Aug,4.5
LASST040000000000003,2021,M09,2021 Sep,4.2
LASST040000000000003,2021,M10,2021 Oct,3.9
LASST040000000000003,2021,M11,2021 Nov,3.9
LASST040000000000003,2021,M12,2021 Dec,3.9
LASST040000000000003,2022,M01,2022 Jan,3.7
LASST040000000000003,2022,M02,2022 Feb,3.6
LASST040000000000003,2022,M03,2022 Mar,3.3
LASST040000000000003,2022,M04,2022 Apr,3.2
LASST040000000000003,2022,M05,2022 May,3.2
LASST040000000000003,2022,M06,2022 Jun,3.3
LASST040000000000003,2022,M07,2022 Jul,3.3
LASST040000000000003,2022,M08,2022 Aug,3.5
LASST040000000000003,2022,M09,2022 Sep,3.7
LASST040000000000003,2022,M10,2022 Oct,3.9
LASST050000000000003,2020,M01,2020 Jan,3.5
LASST050000000000003,2020,M02,2020 Feb,3.6
LASST050000000000003,2020,M03,2020 Mar,4.9
LASST050000000000003,2020,M04,2020 Apr,10.0
LASST050000000000003,2020,M05,2020 May,8.7
LASST050000000000003,2020,M06,2020 Jun,7.6
LASST050000000000003,2020,M07,2020 Jul,7.1
LASST050000000000003,2020,M08,2020 Aug,6.2
LASST050000000000003,2020,M09,2020 Sep,5.8
LASST050000000000003,2020,M10,2020 Oct,5.4
LASST050000000000003,2020,M11,2020 Nov,5.2
LASST050000000000003,2020,M12,2020 Dec,5.0
LASST050000000000003,2021,M01,2021 Jan,4.9
LASST050000000000003,2021,M02,2021 Feb,4.8
LASST050000000000003,2021,M03,2021 Mar,4.6
LASST050000000000003,2021,M04,2021 Apr,4.5
LASST050000000000003,2021,M05,2021 May,4.4
LASST050000000000003,2021,M06,2021 Jun,4.2
LASST050000000000003,2021,M07,2021 Jul,4.0
LASST050000000000003,2021,M08,2021 Aug,3.8
LASST050000000000003,2021,M09,2021 Sep,3.5
LASST050000000000003,2021,M10,2021 Oct,3.4
LASST050000000000003,2021,M11,2021 Nov,3.3
LASST050000000000003,2021,M12,2021 Dec,3.3
LASST050000000000003,2022,M01,2022 Jan,3.2
LASST050000000000003,2022,M02,2022 Feb,3.1
LASST050000000000003,2022,M03,2022 Mar,3.1
LASST050000000000003,2022,M04,2022 Apr,3.2
LASST050000000000003,2022,M05,2022 May,3.2
LASST050000000000003,2022,M06,2022 Jun,3.2
LASST050000000000003,2022,M07,2022 Jul,3.3
LASST050000000000003,2022,M08,2022 Aug,3.4
LASST050000000000003,2022,M09,2022 Sep,3.5
LASST050000000000003,2022,M10,2022 Oct,3.6
LASST060000000000003,2020,M01,2020 Jan,4.1
LASST060000000000003,2020,M02,2020 Feb,4.1
LASST060000000000003,2020,M03,2020 Mar,5.5
LASST060000000000003,2020,M04,2020 Apr,15.9
LASST060000000000003,2020,M05,2020 May,16.1
LASST060000000000003,2020,M06,2020 Jun,14.1
LASST060000000000003,2020,M07,2020 Jul,13.4
LASST060000000000003,2020,M08,2020 Aug,11.9
LASST060000000000003,2020,M09,2020 Sep,10.3
LASST060000000000003,2020,M10,2020 Oct,9.5
LASST060000000000003,2020,M11,2020 Nov,9.2
LASST060000000000003,2020,M12,2020 Dec,9.2
LASST060000000000003,2021,M01,2021 Jan,8.8
